               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.082574,            0.069787,            0.044501,              0.1994,                0.38,             0.33057,             0.11802,            0.071272,            0.074919,             0.04442,            0.003218,            0.003218,            0.003218
                  38,            0.075704,            0.071989,            0.044176,             0.29949,              0.4225,             0.34384,            0.091693,            0.071759,            0.079655,            0.044479,           0.0031685,           0.0031685,           0.0031685
                  39,            0.076751,            0.067453,            0.044016,             0.21412,              0.4325,             0.38686,             0.12807,            0.067688,            0.076606,            0.044203,            0.003119,            0.003119,            0.003119
                  40,            0.074388,            0.069968,             0.04393,             0.32864,               0.615,             0.52964,             0.18142,            0.067659,            0.074496,            0.044025,           0.0030695,           0.0030695,           0.0030695
                  41,            0.076844,             0.06758,            0.043975,             0.27031,              0.6875,             0.45663,             0.15908,            0.066361,            0.072741,            0.043761,             0.00302,             0.00302,             0.00302
                  42,            0.071997,             0.06567,            0.043634,             0.37957,                 0.7,             0.51455,             0.17881,            0.064896,            0.066874,            0.043429,           0.0029705,           0.0029705,           0.0029705
                  43,            0.074852,            0.073771,            0.043678,             0.23539,                0.79,              0.5675,             0.17349,            0.062869,            0.066231,            0.043274,            0.002921,            0.002921,            0.002921
                  44,            0.072844,            0.072056,            0.043443,             0.22415,               0.875,              0.6044,             0.20441,            0.062674,            0.065561,            0.043068,           0.0028715,           0.0028715,           0.0028715
                  45,            0.072797,             0.06856,            0.043349,             0.24077,               0.875,              0.6039,             0.19942,            0.062306,            0.061763,            0.042794,            0.002822,            0.002822,            0.002822
                  46,            0.070147,            0.067449,            0.043323,             0.26681,                0.88,             0.59554,             0.27888,            0.058428,            0.060642,            0.042524,           0.0027725,           0.0027725,           0.0027725
                  47,            0.065126,            0.060747,            0.043008,             0.24357,             0.83063,             0.61519,             0.19924,            0.062003,            0.058648,            0.042323,            0.002723,            0.002723,            0.002723
                  48,            0.066067,            0.061521,            0.042726,             0.34389,             0.85626,             0.70204,             0.27546,            0.055082,            0.056873,            0.042031,           0.0026735,           0.0026735,           0.0026735
                  49,            0.065491,            0.064087,            0.042391,             0.33946,             0.77954,             0.67295,             0.24054,            0.059142,            0.059108,            0.041992,            0.002624,            0.002624,            0.002624
                  50,            0.064661,            0.064898,            0.042517,             0.40027,               0.915,             0.74132,             0.35647,            0.052219,            0.053737,            0.041611,           0.0025745,           0.0025745,           0.0025745
                  51,            0.063211,             0.05524,            0.042332,             0.43026,             0.93715,             0.78315,             0.28823,               0.057,            0.054935,            0.041535,            0.002525,            0.002525,            0.002525
                  52,            0.064198,            0.066389,            0.042142,             0.48372,             0.84492,             0.82376,             0.40402,            0.049569,            0.053261,            0.041314,           0.0024755,           0.0024755,           0.0024755
                  53,            0.064313,            0.067723,            0.042167,             0.59943,             0.80249,             0.86062,             0.36349,            0.057526,            0.056708,             0.04126,            0.002426,            0.002426,            0.002426
                  54,            0.062298,            0.064879,            0.041812,             0.56603,              0.8025,             0.87262,             0.42123,            0.047106,            0.052589,            0.041028,           0.0023765,           0.0023765,           0.0023765
                  55,            0.060048,            0.066923,            0.041585,             0.67068,             0.80038,             0.84646,             0.35917,            0.056058,            0.056949,            0.041029,            0.002327,            0.002327,            0.002327
                  56,            0.065534,             0.06478,            0.041782,             0.62755,             0.76269,             0.88408,             0.43969,            0.045929,            0.053121,            0.040795,           0.0022775,           0.0022775,           0.0022775
                  57,            0.059323,            0.066708,            0.041453,             0.67861,              0.7731,             0.81264,             0.33755,            0.053018,            0.057817,            0.040815,            0.002228,            0.002228,            0.002228
                  58,            0.065392,            0.070057,            0.041396,             0.55152,             0.73301,             0.83917,             0.44258,            0.043975,            0.052016,            0.040503,           0.0021785,           0.0021785,           0.0021785
                  59,            0.057041,            0.062368,            0.041215,             0.66948,             0.74622,             0.79225,             0.36608,            0.050511,            0.056173,            0.040524,            0.002129,            0.002129,            0.002129
