epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,226.337,0.51142,0.29277,0.82274,0.99721,1,0.995,0.88748,0.5147,0.28565,0.76944,0.005446,0.005446,0.005446
48,230.983,0.5054,0.29085,0.81204,0.99766,1,0.995,0.91433,0.48277,0.25901,0.76692,0.005347,0.005347,0.005347
49,235.598,0.47264,0.28187,0.8196,0.99705,1,0.995,0.89737,0.51829,0.27254,0.77066,0.005248,0.005248,0.005248
50,240.24,0.47101,0.28056,0.80926,0.99761,1,0.995,0.91498,0.4218,0.25733,0.75969,0.005149,0.005149,0.005149
51,244.844,0.45282,0.2767,0.81609,0.99795,1,0.995,0.8895,0.56434,0.26769,0.78086,0.00505,0.00505,0.00505
52,249.975,0.46652,0.27826,0.80757,0.99786,1,0.995,0.88208,0.57715,0.28318,0.77605,0.004951,0.004951,0.004951
53,254.718,0.48924,0.28958,0.81459,0.99787,1,0.995,0.9145,0.45553,0.2664,0.75949,0.004852,0.004852,0.004852
54,259.26,0.47539,0.28658,0.8128,0.99756,0.99925,0.995,0.88489,0.60816,0.28388,0.78532,0.004753,0.004753,0.004753
55,263.802,0.48439,0.28177,0.81603,0.99818,1,0.995,0.91824,0.44626,0.26133,0.75955,0.004654,0.004654,0.004654
56,268.915,0.48261,0.28199,0.81853,0.99856,1,0.995,0.89498,0.55152,0.27872,0.77678,0.004555,0.004555,0.004555
57,273.799,0.47532,0.28106,0.80952,0.99855,1,0.995,0.93236,0.42294,0.2458,0.75849,0.004456,0.004456,0.004456
58,278.746,0.46089,0.27654,0.8131,0.99798,1,0.995,0.91276,0.48376,0.27568,0.76596,0.004357,0.004357,0.004357
59,283.354,0.45946,0.27863,0.81206,0.99849,1,0.995,0.94929,0.40189,0.24691,0.75589,0.004258,0.004258,0.004258
60,288.112,0.45608,0.27606,0.81187,0.99815,1,0.995,0.8868,0.52372,0.26302,0.77268,0.004159,0.004159,0.004159
61,292.666,0.45263,0.26973,0.80415,0.99804,1,0.995,0.91101,0.44258,0.24061,0.75678,0.00406,0.00406,0.00406
62,297.3,0.44316,0.26433,0.80773,0.99824,1,0.995,0.90123,0.5,0.24496,0.76755,0.003961,0.003961,0.003961
63,301.845,0.4169,0.2559,0.80356,0.99806,1,0.995,0.91495,0.41589,0.2251,0.76471,0.003862,0.003862,0.003862
64,306.513,0.40728,0.25196,0.8081,0.99809,1,0.995,0.91677,0.44179,0.23554,0.75994,0.003763,0.003763,0.003763
65,311.178,0.42303,0.2484,0.80192,0.9985,1,0.995,0.92402,0.43051,0.2281,0.75471,0.003664,0.003664,0.003664
66,315.847,0.41892,0.24881,0.80751,0.99818,1,0.995,0.92461,0.41725,0.22657,0.76008,0.003565,0.003565,0.003565
67,320.402,0.40033,0.2454,0.80352,0.99815,1,0.995,0.94611,0.38335,0.23035,0.74973,0.003466,0.003466,0.003466
68,325.044,0.39621,0.24188,0.79729,0.99894,1,0.995,0.94722,0.38194,0.22332,0.74811,0.003367,0.003367,0.003367
69,329.613,0.40847,0.24124,0.79869,0.9983,1,0.995,0.92638,0.41265,0.23439,0.75318,0.003268,0.003268,0.003268
