epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.294,1.019,0.66871,0.96262,0.98035,0.96653,0.98189,0.80365,0.83531,0.42184,0.92554,0.0700375,0.00332916,0.00332916
2,891.352,0.80502,0.44247,0.88973,0.98393,0.97053,0.98367,0.83586,0.67712,0.36004,0.87811,0.0399716,0.00659654,0.00659654
3,1428.22,0.76291,0.41126,0.87918,0.98791,0.98249,0.99015,0.86357,0.616,0.32525,0.8607,0.00983963,0.00979791,0.00979791
4,2001.3,0.71833,0.3824,0.86602,0.98979,0.98321,0.99088,0.88137,0.57173,0.2907,0.85636,0.009703,0.009703,0.009703
5,2748.52,0.69762,0.36776,0.86202,0.98848,0.98288,0.98992,0.86027,0.63754,0.30478,0.86679,0.009604,0.009604,0.009604
6,3357.58,0.68547,0.35602,0.85989,0.99112,0.98372,0.99101,0.88588,0.58819,0.27542,0.86044,0.009505,0.009505,0.009505
7,4290.76,0.6807,0.35352,0.85627,0.99216,0.9864,0.99187,0.89297,0.53609,0.26201,0.84727,0.009406,0.009406,0.009406
8,5002.85,0.66798,0.34227,0.85441,0.99356,0.98777,0.99244,0.90031,0.51286,0.25184,0.84238,0.009307,0.009307,0.009307
9,5835.63,0.66536,0.34251,0.85392,0.99144,0.98038,0.99177,0.8847,0.56362,0.26904,0.85158,0.009208,0.009208,0.009208
10,6437.7,0.64948,0.33562,0.84974,0.99388,0.98732,0.9928,0.89873,0.524,0.24883,0.84375,0.009109,0.009109,0.009109
11,7207.01,0.64331,0.33184,0.84888,0.99454,0.98836,0.99291,0.89175,0.5636,0.26531,0.84894,0.00901,0.00901,0.00901
12,7678.71,0.64794,0.33119,0.85001,0.99293,0.98811,0.99252,0.89408,0.5623,0.25601,0.85066,0.008911,0.008911,0.008911
13,8491.95,0.63201,0.32549,0.84659,0.99443,0.98893,0.99319,0.89467,0.52569,0.24162,0.84319,0.008812,0.008812,0.008812
14,9251.63,0.62866,0.322,0.8447,0.99364,0.98909,0.99269,0.88966,0.53497,0.25445,0.84445,0.008713,0.008713,0.008713
15,9957.69,0.6265,0.32346,0.84402,0.99417,0.98848,0.99265,0.90649,0.50437,0.24855,0.83867,0.008614,0.008614,0.008614
16,10547.5,0.61989,0.31713,0.84276,0.99479,0.9912,0.99327,0.9023,0.54337,0.23663,0.84747,0.008515,0.008515,0.008515
17,11378.9,0.61486,0.31621,0.84165,0.99458,0.99016,0.99343,0.90913,0.5022,0.23374,0.83939,0.008416,0.008416,0.008416
18,12120,0.60064,0.31167,0.83783,0.99492,0.99057,0.99353,0.88448,0.61964,0.24389,0.87138,0.008317,0.008317,0.008317
19,13566.5,0.60082,0.30925,0.83742,0.99468,0.99171,0.99377,0.8995,0.55312,0.2377,0.85012,0.008218,0.008218,0.008218
20,14390.8,0.5957,0.30736,0.8354,0.99662,0.9914,0.99377,0.91146,0.4856,0.22312,0.83569,0.008119,0.008119,0.008119
21,15467,0.58603,0.30346,0.83475,0.99638,0.99192,0.99387,0.91656,0.47263,0.21678,0.83331,0.00802,0.00802,0.00802
22,16117.7,0.58519,0.30414,0.83489,0.99633,0.99221,0.99396,0.90335,0.53597,0.22371,0.84481,0.007921,0.007921,0.007921
23,16603.6,0.5856,0.30254,0.83444,0.99611,0.99281,0.99397,0.91362,0.48499,0.21525,0.83533,0.007822,0.007822,0.007822
24,17199,0.58245,0.29966,0.8336,0.99585,0.99255,0.99399,0.91634,0.4734,0.21547,0.83292,0.007723,0.007723,0.007723
25,17851.1,0.57218,0.29584,0.83147,0.99668,0.99287,0.99413,0.91387,0.49211,0.21245,0.83554,0.007624,0.007624,0.007624
26,18277.1,0.57644,0.29767,0.83273,0.99691,0.99249,0.99409,0.91629,0.48787,0.21254,0.83469,0.007525,0.007525,0.007525
27,18706.1,0.56972,0.29375,0.83167,0.99625,0.99308,0.99413,0.9161,0.47713,0.2103,0.83282,0.007426,0.007426,0.007426
28,19095.1,0.56802,0.29163,0.83133,0.99667,0.99331,0.99424,0.91887,0.46158,0.20923,0.83,0.007327,0.007327,0.007327
29,19478.4,0.56211,0.28961,0.8293,0.99647,0.99347,0.99424,0.9105,0.51404,0.21322,0.83937,0.007228,0.007228,0.007228
30,19861.7,0.56019,0.28808,0.82961,0.99668,0.9941,0.99421,0.91076,0.51098,0.21145,0.83927,0.007129,0.007129,0.007129
31,20255.4,0.55772,0.28517,0.82779,0.99689,0.99361,0.99429,0.92369,0.44803,0.20032,0.82726,0.00703,0.00703,0.00703
32,20639.3,0.55442,0.28598,0.82781,0.99703,0.99447,0.99441,0.92436,0.45397,0.19739,0.82789,0.006931,0.006931,0.006931
33,21171.8,0.55144,0.28441,0.82713,0.99677,0.99413,0.99436,0.9239,0.44753,0.19801,0.82719,0.006832,0.006832,0.006832
34,23307.8,0.54763,0.28246,0.827,0.99664,0.99438,0.99436,0.92543,0.44187,0.19646,0.82664,0.006733,0.006733,0.006733
35,25493.8,0.55001,0.28158,0.82664,0.99732,0.99388,0.99439,0.92405,0.44602,0.19472,0.82665,0.006634,0.006634,0.006634
36,26001.9,0.54388,0.28129,0.82593,0.99715,0.99436,0.99444,0.92236,0.46305,0.19964,0.82974,0.006535,0.006535,0.006535
37,26733.1,0.54231,0.27811,0.82555,0.99705,0.99438,0.99445,0.92429,0.4385,0.19268,0.82482,0.006436,0.006436,0.006436
38,27509.9,0.54392,0.27831,0.82503,0.99727,0.99491,0.99452,0.92693,0.43034,0.18877,0.82419,0.006337,0.006337,0.006337
39,28019.9,0.5417,0.27834,0.8259,0.99732,0.99521,0.9945,0.92777,0.42885,0.18985,0.82389,0.006238,0.006238,0.006238
40,28489.1,0.53862,0.27647,0.82308,0.99762,0.99504,0.99454,0.9259,0.43178,0.18925,0.82418,0.006139,0.006139,0.006139
41,28896.4,0.53374,0.27338,0.82384,0.99705,0.99559,0.99455,0.93015,0.41994,0.18604,0.82247,0.00604,0.00604,0.00604
42,29928.7,0.53641,0.27446,0.82317,0.99741,0.99517,0.99452,0.92991,0.42385,0.18668,0.82287,0.005941,0.005941,0.005941
43,30362.4,0.53061,0.27174,0.82251,0.99746,0.99521,0.99457,0.9302,0.42109,0.18553,0.82245,0.005842,0.005842,0.005842
44,30932.1,0.52816,0.27137,0.82194,0.99767,0.99503,0.99451,0.92979,0.42422,0.18817,0.82238,0.005743,0.005743,0.005743
45,31439.3,0.52689,0.26701,0.82191,0.99746,0.99549,0.99458,0.93061,0.42049,0.18529,0.82186,0.005644,0.005644,0.005644
46,31846.5,0.52521,0.26866,0.82176,0.99752,0.99583,0.99459,0.93046,0.41983,0.18371,0.82183,0.005545,0.005545,0.005545
