               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.016213,            0.016661,          0.00082918,             0.99694,             0.99518,              0.9944,             0.90205,            0.012176,           0.0097208,          0.00060844,            0.003317,            0.003317,            0.003317
                  36,            0.016033,            0.016465,          0.00079982,             0.99676,             0.99488,             0.99441,             0.90266,            0.012061,           0.0097197,          0.00061422,           0.0032675,           0.0032675,           0.0032675
                  37,            0.015781,            0.016257,           0.0007889,             0.99681,             0.99482,             0.99445,             0.90802,            0.011793,           0.0095113,          0.00060295,            0.003218,            0.003218,            0.003218
                  38,            0.015718,            0.016373,          0.00080416,             0.99741,             0.99508,             0.99452,             0.90964,            0.011782,           0.0094453,           0.0005908,           0.0031685,           0.0031685,           0.0031685
                  39,            0.015776,            0.016293,          0.00078175,             0.99739,             0.99498,             0.99453,             0.90983,            0.011718,           0.0094343,          0.00057306,            0.003119,            0.003119,            0.003119
                  40,            0.015687,            0.016188,          0.00076966,             0.99751,             0.99494,             0.99451,             0.90931,             0.01168,           0.0094306,          0.00056354,           0.0030695,           0.0030695,           0.0030695
                  41,            0.015384,            0.016136,          0.00076694,             0.99749,             0.99547,             0.99459,             0.91026,            0.011663,           0.0094056,          0.00054924,             0.00302,             0.00302,             0.00302
                  42,            0.015295,            0.015922,          0.00073244,             0.99762,             0.99522,             0.99455,             0.91214,            0.011564,           0.0093657,          0.00053678,           0.0029705,           0.0029705,           0.0029705
                  43,            0.015183,            0.015902,          0.00073894,             0.99796,             0.99501,             0.99458,             0.91036,            0.011605,           0.0093527,          0.00053591,            0.002921,            0.002921,            0.002921
                  44,            0.015102,            0.015927,          0.00075082,             0.99742,             0.99528,             0.99454,             0.90985,            0.011664,           0.0093444,          0.00051552,           0.0028715,           0.0028715,           0.0028715
                  45,            0.015006,            0.015828,          0.00073728,             0.99809,             0.99541,              0.9946,             0.91041,            0.011647,           0.0093277,          0.00050503,            0.002822,            0.002822,            0.002822
                  46,            0.014934,            0.015772,           0.0006808,              0.9977,             0.99579,             0.99462,             0.91081,            0.011577,           0.0092908,          0.00049949,           0.0027725,           0.0027725,           0.0027725
                  47,            0.014777,            0.015688,          0.00069548,             0.99787,             0.99565,             0.99461,             0.91108,            0.011514,           0.0092669,          0.00048937,            0.002723,            0.002723,            0.002723
                  48,            0.014682,            0.015581,          0.00068517,              0.9979,             0.99556,             0.99456,             0.91376,            0.011481,           0.0092459,          0.00047773,           0.0026735,           0.0026735,           0.0026735
                  49,            0.014565,            0.015537,           0.0006816,             0.99752,             0.99591,              0.9946,             0.91477,            0.011424,           0.0091787,          0.00047611,            0.002624,            0.002624,            0.002624
                  50,            0.014512,            0.015502,          0.00066783,              0.9979,             0.99557,              0.9946,             0.91427,            0.011447,           0.0091825,          0.00046786,           0.0025745,           0.0025745,           0.0025745
                  51,            0.014427,             0.01536,          0.00067179,             0.99784,             0.99578,              0.9946,             0.91449,             0.01137,            0.009154,          0.00046436,            0.002525,            0.002525,            0.002525
                  52,            0.014388,            0.015393,          0.00066844,             0.99771,              0.9958,             0.99464,             0.91487,            0.011353,           0.0091354,          0.00045943,           0.0024755,           0.0024755,           0.0024755
                  53,            0.014251,            0.015231,          0.00066501,             0.99765,             0.99609,             0.99469,             0.91486,             0.01133,           0.0091081,          0.00045378,            0.002426,            0.002426,            0.002426
                  54,            0.014212,            0.015162,          0.00063931,             0.99778,              0.9961,             0.99466,             0.91538,            0.011309,           0.0090888,          0.00044737,           0.0023765,           0.0023765,           0.0023765
                  55,            0.014085,            0.015163,          0.00063464,             0.99799,             0.99592,             0.99471,             0.91582,            0.011259,           0.0090582,          0.00044017,            0.002327,            0.002327,            0.002327
                  56,            0.014037,            0.015191,          0.00064498,             0.99816,               0.996,              0.9947,             0.91698,            0.011233,           0.0090358,          0.00043551,           0.0022775,           0.0022775,           0.0022775
                  57,            0.014029,            0.015024,          0.00062574,              0.9978,             0.99617,              0.9947,             0.91744,            0.011207,           0.0090211,          0.00043014,            0.002228,            0.002228,            0.002228
                  58,            0.013765,            0.014972,          0.00061443,             0.99781,             0.99616,              0.9947,             0.91899,            0.011162,           0.0089985,          0.00042382,           0.0021785,           0.0021785,           0.0021785
                  59,             0.01382,            0.014865,          0.00063463,             0.99776,             0.99589,             0.99465,             0.91923,            0.011157,           0.0089993,          0.00041846,            0.002129,            0.002129,            0.002129
                  60,            0.013726,            0.014845,          0.00060038,             0.99761,              0.9963,             0.99468,             0.91949,            0.011129,           0.0089795,          0.00041174,           0.0020795,           0.0020795,           0.0020795
                  61,            0.013726,            0.014864,          0.00061508,             0.99767,             0.99627,             0.99467,             0.91836,            0.011159,           0.0089807,          0.00040722,             0.00203,             0.00203,             0.00203
                  62,            0.013463,            0.014707,          0.00060609,             0.99786,             0.99607,             0.99466,             0.91917,            0.011122,            0.008958,          0.00040165,           0.0019805,           0.0019805,           0.0019805
                  63,            0.013484,            0.014747,          0.00060709,             0.99762,             0.99612,             0.99469,             0.91909,            0.011119,           0.0089568,          0.00039534,            0.001931,            0.001931,            0.001931
                  64,            0.013385,            0.014554,          0.00057749,             0.99778,              0.9961,             0.99468,             0.91916,            0.011125,           0.0089547,          0.00039031,           0.0018815,           0.0018815,           0.0018815
                  65,            0.013327,            0.014569,          0.00057325,             0.99771,             0.99619,             0.99468,             0.91964,            0.011107,            0.008942,          0.00038429,            0.001832,            0.001832,            0.001832
                  66,            0.013243,            0.014444,          0.00057207,             0.99787,             0.99616,              0.9947,             0.91975,            0.011098,           0.0089286,          0.00037829,           0.0017825,           0.0017825,           0.0017825
                  67,            0.013275,            0.014506,          0.00059639,             0.99791,             0.99624,              0.9947,             0.92054,            0.011072,           0.0089099,          0.00036888,            0.001733,            0.001733,            0.001733
                  68,            0.013085,            0.014386,           0.0005684,             0.99788,             0.99635,             0.99469,             0.92077,            0.011058,           0.0089017,          0.00036453,           0.0016835,           0.0016835,           0.0016835
                  69,            0.013082,            0.014419,          0.00056335,             0.99793,             0.99622,             0.99469,             0.92082,            0.011044,           0.0088893,          0.00035984,            0.001634,            0.001634,            0.001634
                  70,            0.013002,            0.014337,           0.0005723,             0.99807,             0.99629,             0.99469,             0.92086,            0.011033,           0.0088838,          0.00035546,           0.0015845,           0.0015845,           0.0015845
                  71,            0.013014,            0.014371,          0.00056217,             0.99793,             0.99633,             0.99469,             0.92104,            0.011022,           0.0088781,          0.00035133,            0.001535,            0.001535,            0.001535
                  72,            0.012908,            0.014269,          0.00055778,             0.99817,             0.99615,             0.99468,             0.92092,            0.011028,           0.0088778,          0.00034694,           0.0014855,           0.0014855,           0.0014855
                  73,            0.012879,            0.014263,          0.00055114,             0.99815,             0.99623,             0.99469,             0.92129,            0.011013,           0.0088685,          0.00034276,            0.001436,            0.001436,            0.001436
                  74,            0.012785,             0.01418,          0.00054733,               0.998,             0.99629,              0.9947,             0.92152,            0.010981,           0.0088534,          0.00033931,           0.0013865,           0.0013865,           0.0013865
                  75,            0.012769,            0.014185,          0.00052077,             0.99795,             0.99626,              0.9947,             0.92164,            0.010971,            0.008848,          0.00033551,            0.001337,            0.001337,            0.001337
                  76,            0.012631,            0.014108,          0.00053195,              0.9979,             0.99624,              0.9947,             0.92162,            0.010967,           0.0088452,          0.00033193,           0.0012875,           0.0012875,           0.0012875
                  77,            0.012614,            0.014029,           0.0005484,             0.99805,             0.99622,              0.9947,             0.92146,            0.010958,           0.0088407,          0.00032844,            0.001238,            0.001238,            0.001238
                  78,            0.012619,            0.014072,          0.00051817,             0.99808,             0.99629,              0.9947,             0.92189,            0.010943,           0.0088309,          0.00032502,           0.0011885,           0.0011885,           0.0011885
                  79,            0.012481,            0.013935,          0.00048985,             0.99811,             0.99629,              0.9947,             0.92226,            0.010927,           0.0088209,          0.00032176,            0.001139,            0.001139,            0.001139
                  80,            0.012388,            0.013868,          0.00051096,             0.99812,             0.99639,              0.9947,             0.92214,            0.010919,           0.0088163,          0.00031866,           0.0010895,           0.0010895,           0.0010895
                  81,            0.012494,             0.01385,          0.00052151,             0.99816,             0.99639,             0.99471,             0.92239,            0.010909,           0.0088112,          0.00031581,             0.00104,             0.00104,             0.00104
                  82,            0.012418,            0.013911,          0.00051617,             0.99815,             0.99643,             0.99472,             0.92253,            0.010897,           0.0088034,          0.00031305,           0.0009905,           0.0009905,           0.0009905
                  83,             0.01234,            0.013789,          0.00050538,             0.99814,             0.99648,             0.99471,             0.92264,            0.010884,           0.0087963,          0.00031051,            0.000941,            0.000941,            0.000941
                  84,            0.012217,            0.013776,          0.00049532,             0.99807,              0.9965,             0.99471,             0.92283,            0.010877,           0.0087923,          0.00030819,           0.0008915,           0.0008915,           0.0008915
                  85,            0.012317,            0.013665,           0.0004947,             0.99812,             0.99651,             0.99471,             0.92288,            0.010871,           0.0087889,          0.00030614,            0.000842,            0.000842,            0.000842
                  86,            0.012183,            0.013602,          0.00051034,             0.99817,             0.99651,             0.99471,             0.92274,            0.010862,           0.0087844,          0.00030424,           0.0007925,           0.0007925,           0.0007925
                  87,            0.012066,            0.013502,          0.00049281,              0.9981,             0.99648,             0.99471,             0.92326,            0.010852,           0.0087794,           0.0003025,            0.000743,            0.000743,            0.000743
                  88,            0.012151,             0.01362,          0.00048061,             0.99808,             0.99648,             0.99471,              0.9233,            0.010845,           0.0087762,          0.00030094,           0.0006935,           0.0006935,           0.0006935
                  89,            0.012079,            0.013579,          0.00049455,             0.99803,             0.99649,             0.99471,             0.92312,             0.01084,           0.0087738,          0.00029953,            0.000644,            0.000644,            0.000644
                  90,            0.012032,            0.013553,          0.00049119,               0.998,              0.9965,             0.99471,             0.92315,            0.010836,           0.0087716,          0.00029831,           0.0005945,           0.0005945,           0.0005945
                  91,            0.011883,            0.013357,          0.00048068,             0.99797,              0.9965,             0.99471,             0.92326,             0.01083,           0.0087683,          0.00029713,            0.000545,            0.000545,            0.000545
                  92,            0.011927,            0.013406,          0.00047925,             0.99807,             0.99657,             0.99472,             0.92322,            0.010824,           0.0087664,          0.00029618,           0.0004955,           0.0004955,           0.0004955
                  93,            0.011926,            0.013472,          0.00046625,             0.99806,             0.99655,             0.99472,             0.92333,            0.010822,           0.0087649,          0.00029535,            0.000446,            0.000446,            0.000446
                  94,            0.011892,            0.013369,          0.00048618,             0.99807,             0.99657,             0.99471,             0.92325,             0.01082,           0.0087647,          0.00029463,           0.0003965,           0.0003965,           0.0003965
                  95,            0.011885,             0.01334,          0.00047411,               0.998,             0.99663,             0.99472,             0.92311,            0.010815,           0.0087621,          0.00029394,            0.000347,            0.000347,            0.000347
                  96,            0.011769,            0.013305,          0.00045925,             0.99802,             0.99665,             0.99472,              0.9233,             0.01081,           0.0087594,          0.00029329,           0.0002975,           0.0002975,           0.0002975
                  97,            0.011746,            0.013302,          0.00047018,               0.998,             0.99665,             0.99473,              0.9235,            0.010807,           0.0087582,          0.00029269,            0.000248,            0.000248,            0.000248
                  98,            0.011753,            0.013271,          0.00047445,               0.998,             0.99662,             0.99473,              0.9233,            0.010804,           0.0087566,          0.00029214,           0.0001985,           0.0001985,           0.0001985
                  99,            0.011619,            0.013122,          0.00045328,             0.99803,              0.9966,             0.99473,             0.92339,            0.010805,           0.0087571,          0.00029161,            0.000149,            0.000149,            0.000149
