epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,107392,0.55117,0.28263,0.82759,0.9974,0.99418,0.99441,0.92147,0.45718,0.19487,0.82954,0.005842,0.005842,0.005842
44,109697,0.54445,0.2812,0.82621,0.99705,0.99435,0.99443,0.92337,0.44493,0.19427,0.8274,0.005743,0.005743,0.005743
45,111925,0.5449,0.28198,0.82664,0.99679,0.99471,0.99448,0.92286,0.45065,0.19312,0.82786,0.005644,0.005644,0.005644
46,114294,0.54216,0.2795,0.82592,0.99672,0.99484,0.9945,0.92289,0.45127,0.19165,0.82801,0.005545,0.005545,0.005545
47,116852,0.54356,0.27823,0.82582,0.9971,0.99449,0.99452,0.9272,0.43433,0.19091,0.82529,0.005446,0.005446,0.005446
48,119739,0.54001,0.27754,0.82474,0.99701,0.99489,0.99453,0.92496,0.44354,0.19055,0.82672,0.005347,0.005347,0.005347
49,122069,0.54068,0.27785,0.82598,0.99671,0.99509,0.9945,0.92626,0.42978,0.18968,0.82402,0.005248,0.005248,0.005248
50,124253,0.54803,0.28298,0.82886,0.99695,0.99492,0.99451,0.92744,0.42859,0.18952,0.8237,0.005149,0.005149,0.005149
51,126644,0.537,0.27546,0.82468,0.99671,0.99553,0.99456,0.92594,0.43701,0.18889,0.82514,0.00505,0.00505,0.00505
52,129306,0.53269,0.27418,0.82409,0.99737,0.99527,0.99457,0.9266,0.43344,0.18733,0.82465,0.004951,0.004951,0.004951
53,131305,0.53214,0.27342,0.82384,0.99737,0.99543,0.99454,0.92787,0.42769,0.18811,0.82342,0.004852,0.004852,0.004852
54,133628,0.52768,0.27232,0.82265,0.99745,0.99544,0.99457,0.92733,0.42879,0.187,0.82355,0.004753,0.004753,0.004753
55,135990,0.52205,0.26783,0.82141,0.99736,0.99564,0.99458,0.92841,0.42974,0.18738,0.82353,0.004654,0.004654,0.004654
56,138341,0.52419,0.26759,0.82166,0.99766,0.9956,0.99459,0.92851,0.42942,0.18624,0.82348,0.004555,0.004555,0.004555
57,140417,0.52641,0.26757,0.82277,0.99752,0.99567,0.9946,0.92806,0.43181,0.18554,0.82392,0.004456,0.004456,0.004456
58,142966,0.52091,0.26675,0.82104,0.99759,0.99568,0.99461,0.92767,0.43081,0.18552,0.82366,0.004357,0.004357,0.004357
59,145770,0.51998,0.2678,0.82124,0.99778,0.99571,0.99462,0.92837,0.4302,0.18475,0.82357,0.004258,0.004258,0.004258
60,148429,0.51855,0.26462,0.82069,0.99773,0.99571,0.99462,0.92923,0.42559,0.18289,0.82267,0.004159,0.004159,0.004159
61,150730,0.51614,0.26503,0.8206,0.99768,0.99583,0.99463,0.92968,0.42478,0.18248,0.82254,0.00406,0.00406,0.00406
62,153043,0.5163,0.26359,0.82011,0.99786,0.99581,0.99465,0.93007,0.42112,0.18176,0.82189,0.003961,0.003961,0.003961
63,155256,0.51255,0.26167,0.81952,0.99784,0.99586,0.99465,0.92962,0.42185,0.18237,0.82201,0.003862,0.003862,0.003862
64,157864,0.51054,0.26071,0.81907,0.99787,0.99607,0.99466,0.9302,0.42046,0.18149,0.82174,0.003763,0.003763,0.003763
65,159860,0.50822,0.25894,0.81821,0.9981,0.99584,0.99466,0.93048,0.41971,0.18092,0.82159,0.003664,0.003664,0.003664
66,161822,0.50778,0.25759,0.81874,0.99813,0.996,0.99465,0.93066,0.4194,0.18027,0.82148,0.003565,0.003565,0.003565
67,164277,0.50272,0.25521,0.81736,0.99801,0.99619,0.99466,0.93088,0.41795,0.17969,0.82122,0.003466,0.003466,0.003466
68,166942,0.50192,0.25684,0.81806,0.99812,0.99613,0.99467,0.93051,0.41964,0.17987,0.82146,0.003367,0.003367,0.003367
69,169126,0.49946,0.25365,0.81666,0.99804,0.99632,0.99469,0.93069,0.41982,0.17949,0.82147,0.003268,0.003268,0.003268
70,170990,0.49703,0.25274,0.81592,0.99812,0.99633,0.99469,0.93055,0.41912,0.17918,0.82127,0.003169,0.003169,0.003169
71,173255,0.49545,0.25071,0.81565,0.99811,0.9964,0.9947,0.93039,0.41833,0.17896,0.821,0.00307,0.00307,0.00307
72,175551,0.49106,0.24988,0.81488,0.99826,0.99642,0.99471,0.93058,0.41774,0.17844,0.82087,0.002971,0.002971,0.002971
73,177608,0.49282,0.2509,0.81524,0.99828,0.99644,0.99472,0.93096,0.41654,0.17801,0.82061,0.002872,0.002872,0.002872
74,180071,0.49134,0.24794,0.81408,0.99827,0.99651,0.99473,0.9311,0.41639,0.17751,0.82057,0.002773,0.002773,0.002773
75,182353,0.48669,0.24705,0.81375,0.99834,0.99645,0.99473,0.93172,0.41379,0.17692,0.8201,0.002674,0.002674,0.002674
76,184766,0.48296,0.24395,0.81368,0.99838,0.99645,0.99473,0.93194,0.41315,0.17646,0.81994,0.002575,0.002575,0.002575
77,187089,0.4838,0.24504,0.8132,0.99834,0.99647,0.99474,0.93218,0.41238,0.17615,0.81977,0.002476,0.002476,0.002476
78,189551,0.47858,0.2407,0.81332,0.9983,0.99662,0.99474,0.9324,0.41201,0.17584,0.8197,0.002377,0.002377,0.002377
79,191995,0.47769,0.24022,0.81211,0.99827,0.99672,0.99474,0.93281,0.41121,0.17545,0.81956,0.002278,0.002278,0.002278
80,194423,0.47589,0.23929,0.81134,0.99828,0.99675,0.99474,0.93286,0.41066,0.17524,0.81944,0.002179,0.002179,0.002179
81,196525,0.4742,0.23835,0.81159,0.99832,0.99675,0.99475,0.93308,0.40997,0.17502,0.81931,0.00208,0.00208,0.00208
82,198796,0.47151,0.23613,0.81032,0.9983,0.99681,0.99474,0.93328,0.40958,0.17485,0.81923,0.001981,0.001981,0.001981
83,201087,0.4674,0.23413,0.81002,0.99832,0.99683,0.99474,0.9334,0.40904,0.17455,0.81912,0.001882,0.001882,0.001882
84,203396,0.46656,0.23323,0.80855,0.99837,0.99684,0.99475,0.93355,0.4089,0.17435,0.81907,0.001783,0.001783,0.001783
85,205342,0.4626,0.23198,0.80908,0.99827,0.99694,0.99475,0.93374,0.40855,0.17416,0.81898,0.001684,0.001684,0.001684
86,207456,0.46058,0.23121,0.80825,0.99824,0.99709,0.99475,0.93398,0.40755,0.17388,0.81881,0.001585,0.001585,0.001585
87,209661,0.45643,0.22826,0.80753,0.99824,0.99708,0.99475,0.9343,0.40655,0.17367,0.81864,0.001486,0.001486,0.001486
88,211782,0.45553,0.22749,0.80779,0.99829,0.9971,0.99476,0.93438,0.40587,0.17352,0.81852,0.001387,0.001387,0.001387
89,213966,0.45148,0.22536,0.80699,0.99832,0.99707,0.99475,0.93459,0.40568,0.17326,0.81845,0.001288,0.001288,0.001288
90,217103,0.4507,0.22347,0.80724,0.99838,0.99708,0.99476,0.93476,0.40506,0.17302,0.81833,0.001189,0.001189,0.001189
91,220279,0.42788,0.20397,0.80514,0.99839,0.99708,0.99476,0.93492,0.40412,0.17272,0.81814,0.00109,0.00109,0.00109
92,222476,0.41861,0.19935,0.80235,0.9984,0.99711,0.99476,0.93516,0.40324,0.17239,0.81796,0.000991,0.000991,0.000991
93,228834,0.41341,0.19794,0.80089,0.9984,0.99714,0.99476,0.93533,0.40274,0.17211,0.81783,0.000892,0.000892,0.000892
94,234480,0.40858,0.19369,0.80093,0.99847,0.99712,0.99477,0.93547,0.40229,0.17178,0.81773,0.000793,0.000793,0.000793
95,237179,0.40589,0.19219,0.79992,0.99842,0.99715,0.99477,0.93562,0.40181,0.17148,0.81762,0.000694,0.000694,0.000694
96,240459,0.40101,0.18979,0.79909,0.99852,0.99715,0.99477,0.93576,0.40081,0.17121,0.81744,0.000595,0.000595,0.000595
97,242445,0.39601,0.18715,0.79865,0.99856,0.99719,0.99477,0.93602,0.40003,0.17088,0.81729,0.000496,0.000496,0.000496
98,244603,0.39389,0.1855,0.79775,0.99855,0.9972,0.99477,0.93621,0.39902,0.17067,0.8171,0.000397,0.000397,0.000397
99,246889,0.38961,0.18303,0.79683,0.99862,0.99725,0.99477,0.93642,0.39811,0.17034,0.81693,0.000298,0.000298,0.000298
100,249427,0.38625,0.18093,0.79607,0.99863,0.99726,0.99477,0.9366,0.3974,0.17003,0.8168,0.000199,0.000199,0.000199
