               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.012974,            0.015676,          0.00057664,              0.9979,             0.99654,             0.99454,             0.92209,           0.0098206,            0.012738,          0.00051429,            0.006535,            0.006535,            0.006535
                  37,            0.012886,            0.015668,          0.00057983,             0.99732,             0.99673,             0.99454,             0.92309,           0.0097769,            0.012193,          0.00050253,            0.006436,            0.006436,            0.006436
                  38,            0.012943,            0.015711,           0.0005932,             0.99791,             0.99624,             0.99457,             0.92365,           0.0097387,            0.012483,          0.00049223,            0.006337,            0.006337,            0.006337
                  39,            0.012663,            0.015374,          0.00057384,             0.99795,             0.99675,             0.99457,             0.92413,           0.0097102,            0.012073,           0.0004954,            0.006238,            0.006238,            0.006238
                  40,            0.012605,            0.015313,          0.00056968,             0.99832,             0.99662,             0.99461,             0.92453,           0.0096574,            0.012361,          0.00047845,            0.006139,            0.006139,            0.006139
                  41,            0.012654,            0.015468,          0.00055008,             0.99822,             0.99692,             0.99464,             0.92431,           0.0096289,            0.012458,          0.00047296,             0.00604,             0.00604,             0.00604
                  42,            0.012607,            0.015321,          0.00053877,             0.99834,             0.99654,             0.99465,             0.92681,           0.0095646,            0.012053,          0.00046717,            0.005941,            0.005941,            0.005941
                  43,            0.012415,            0.015293,          0.00053554,             0.99837,             0.99662,             0.99469,             0.92611,            0.009556,            0.012321,           0.0004544,            0.005842,            0.005842,            0.005842
                  44,            0.012386,            0.015106,          0.00052997,             0.99836,             0.99665,             0.99469,             0.92738,           0.0095384,            0.012197,          0.00045681,            0.005743,            0.005743,            0.005743
                  45,            0.012353,            0.015276,          0.00053489,             0.99823,             0.99672,             0.99468,             0.92692,           0.0095661,              0.0122,          0.00044749,            0.005644,            0.005644,            0.005644
                  46,            0.012355,            0.015251,          0.00052733,             0.99844,             0.99668,             0.99466,              0.9279,            0.009506,            0.012001,           0.0004447,            0.005545,            0.005545,            0.005545
                  47,            0.011987,            0.015035,           0.0005076,             0.99858,             0.99668,             0.99466,             0.92816,           0.0094125,            0.012163,          0.00044208,            0.005446,            0.005446,            0.005446
                  48,            0.012034,            0.015009,          0.00051361,             0.99861,             0.99686,             0.99465,             0.92794,           0.0094196,             0.01231,          0.00043807,            0.005347,            0.005347,            0.005347
                  49,            0.011996,            0.015072,          0.00049335,             0.99868,             0.99697,             0.99462,             0.92894,           0.0093808,            0.012104,          0.00042738,            0.005248,            0.005248,            0.005248
                  50,            0.011911,            0.014863,          0.00049514,             0.99862,             0.99713,             0.99466,             0.92933,           0.0093155,            0.012175,          0.00042019,            0.005149,            0.005149,            0.005149
                  51,            0.011926,            0.014867,          0.00049524,             0.99869,             0.99718,             0.99467,             0.93027,           0.0092896,            0.012089,          0.00041673,             0.00505,             0.00505,             0.00505
                  52,            0.011822,            0.014805,          0.00048499,             0.99868,             0.99747,             0.99469,             0.93107,           0.0092275,            0.011942,          0.00041124,            0.004951,            0.004951,            0.004951
                  53,            0.011705,            0.014684,          0.00047752,              0.9987,             0.99726,             0.99469,             0.93121,           0.0092254,            0.012015,          0.00040929,            0.004852,            0.004852,            0.004852
                  54,             0.01171,            0.014694,          0.00047588,              0.9986,             0.99739,             0.99465,             0.93126,           0.0092187,            0.012101,          0.00040616,            0.004753,            0.004753,            0.004753
                  55,            0.011632,            0.014574,          0.00046125,             0.99855,              0.9974,             0.99462,             0.93112,           0.0091969,            0.012162,          0.00039808,            0.004654,            0.004654,            0.004654
                  56,             0.01153,            0.014515,          0.00046378,             0.99862,             0.99743,             0.99464,             0.93161,           0.0091803,            0.012166,          0.00039341,            0.004555,            0.004555,            0.004555
                  57,            0.011423,            0.014446,          0.00044797,             0.99867,              0.9973,             0.99463,             0.93142,           0.0091613,            0.012174,          0.00038717,            0.004456,            0.004456,            0.004456
                  58,            0.011219,            0.014182,          0.00044474,             0.99864,             0.99743,             0.99464,             0.93209,           0.0091197,            0.012176,          0.00038436,            0.004357,            0.004357,            0.004357
                  59,            0.011301,            0.014274,          0.00043365,             0.99862,             0.99746,             0.99465,             0.93299,           0.0090848,            0.012179,          0.00037877,            0.004258,            0.004258,            0.004258
                  60,            0.011177,            0.014206,          0.00043711,             0.99862,             0.99746,             0.99467,              0.9338,           0.0090538,            0.012109,          0.00037521,            0.004159,            0.004159,            0.004159
